,time,pod_name,mean_cpu_usage_nanocores,mean_memory_working_set_bytes
71008,1688022000000000000,kibana-kibana-5d996f756d-f9pwp,75903532.81666666,836393506.1333333
72072,1688020200000000000,kibana-kibana-5d996f756d-f9pwp,81417434.38333334,834353698.1333333
73132,1688018400000000000,kibana-kibana-5d996f756d-f9pwp,80997035.58333333,831801890.1333333
74195,1688016600000000000,kibana-kibana-5d996f756d-f9pwp,95170067.73333332,837351219.2
75270,1688014800000000000,kibana-kibana-5d996f756d-f9pwp,78791059.58333333,839778645.3333334
76328,1688013000000000000,kibana-kibana-5d996f756d-f9pwp,89443550.0,840790971.7333333
77381,1688011200000000000,kibana-kibana-5d996f756d-f9pwp,86279818.58333333,838251042.1333333
78440,1688009400000000000,kibana-kibana-5d996f756d-f9pwp,79338646.81666666,829229875.2
79495,1688007600000000000,kibana-kibana-5d996f756d-f9pwp,71736911.31666666,833170363.7333333
80550,1688005800000000000,kibana-kibana-5d996f756d-f9pwp,76165563.41666667,840980889.6
81598,1688004000000000000,kibana-kibana-5d996f756d-f9pwp,81128184.93333334,840037102.9333333
82652,1688002200000000000,kibana-kibana-5d996f756d-f9pwp,88074821.71666667,838933913.6
83708,1688000400000000000,kibana-kibana-5d996f756d-f9pwp,74989329.08333333,832678707.2
84745,1687998600000000000,kibana-kibana-5d996f756d-f9pwp,46818543.05,831550327.4666667
85803,1687996800000000000,kibana-kibana-5d996f756d-f9pwp,51567633.333333336,829854583.4666667
86860,1687995000000000000,kibana-kibana-5d996f756d-f9pwp,54307785.38333333,828069273.6
87917,1687993200000000000,kibana-kibana-5d996f756d-f9pwp,58663989.86666667,833269828.2666667
88971,1687991400000000000,kibana-kibana-5d996f756d-f9pwp,46661296.88333333,833728716.8
90030,1687989600000000000,kibana-kibana-5d996f756d-f9pwp,56074829.13333333,833603037.8666667
91080,1687987800000000000,kibana-kibana-5d996f756d-f9pwp,48545736.43333333,832579857.0666667
92121,1687986000000000000,kibana-kibana-5d996f756d-f9pwp,42294546.666666664,833113429.3333334
93181,1687984200000000000,kibana-kibana-5d996f756d-f9pwp,41706405.75,831759428.2666667
94146,1687982400000000000,kibana-kibana-5d996f756d-f9pwp,41786499.35,833303483.7333333
95202,1687980600000000000,kibana-kibana-5d996f756d-f9pwp,37409168.733333334,830830250.6666666
96255,1687978800000000000,kibana-kibana-5d996f756d-f9pwp,49022299.18333333,829139899.7333333
97309,1687977000000000000,kibana-kibana-5d996f756d-f9pwp,44096064.05,835059029.3333334
98361,1687975200000000000,kibana-kibana-5d996f756d-f9pwp,43030439.61666667,832983995.7333333
99416,1687973400000000000,kibana-kibana-5d996f756d-f9pwp,43945883.166666664,832862890.6666666
100480,1687971600000000000,kibana-kibana-5d996f756d-f9pwp,54591157.483333334,831224149.3333334
101551,1687969800000000000,kibana-kibana-5d996f756d-f9pwp,41487126.333333336,832615560.5333333
102628,1687968000000000000,kibana-kibana-5d996f756d-f9pwp,45079333.5,832673723.7333333
103695,1687966200000000000,kibana-kibana-5d996f756d-f9pwp,45485811.38333333,830783897.6
104728,1687964400000000000,kibana-kibana-5d996f756d-f9pwp,42262196.5,825993489.0666667
105780,1687962600000000000,kibana-kibana-5d996f756d-f9pwp,47698172.46666667,832997376.0
106828,1687960800000000000,kibana-kibana-5d996f756d-f9pwp,45984488.3,833191662.9333333
107882,1687959000000000000,kibana-kibana-5d996f756d-f9pwp,45882847.95,833881634.1333333
108938,1687957200000000000,kibana-kibana-5d996f756d-f9pwp,45948802.13333333,832089907.2
109991,1687955400000000000,kibana-kibana-5d996f756d-f9pwp,48398293.3,832916684.8
111041,1687953600000000000,kibana-kibana-5d996f756d-f9pwp,46372416.13333333,829851170.1333333
112100,1687951800000000000,kibana-kibana-5d996f756d-f9pwp,45952525.916666664,830534792.5333333
113158,1687950000000000000,kibana-kibana-5d996f756d-f9pwp,48837708.333333336,828741427.2
114212,1687948200000000000,kibana-kibana-5d996f756d-f9pwp,46652892.85,834412066.1333333
115268,1687946400000000000,kibana-kibana-5d996f756d-f9pwp,59330852.36666667,834316697.6
115871,1687944600000000000,kibana-kibana-5d996f756d-f9pwp,54021958.86666667,834539178.6666666
116933,1687942800000000000,kibana-kibana-5d996f756d-f9pwp,57737103.983333334,832906854.4
117992,1687941000000000000,kibana-kibana-5d996f756d-f9pwp,51048659.333333336,834010658.1333333
119052,1687939200000000000,kibana-kibana-5d996f756d-f9pwp,52907383.63333333,831626581.3333334
120104,1687937400000000000,kibana-kibana-5d996f756d-f9pwp,52014676.233333334,830191479.4666667
121163,1687935600000000000,kibana-kibana-5d996f756d-f9pwp,54443281.166666664,829810414.9333333
122219,1687933800000000000,kibana-kibana-5d996f756d-f9pwp,57472609.45,828762589.8666667
123271,1687932000000000000,kibana-kibana-5d996f756d-f9pwp,52657727.65,832567432.5333333
124336,1687930200000000000,kibana-kibana-5d996f756d-f9pwp,56780447.81666667,831277738.6666666
125397,1687928400000000000,kibana-kibana-5d996f756d-f9pwp,52682434.516666666,831228996.2666667
126454,1687926600000000000,kibana-kibana-5d996f756d-f9pwp,67766725.5,831724134.4
127510,1687924800000000000,kibana-kibana-5d996f756d-f9pwp,62243266.983333334,830140211.2
128549,1687923000000000000,kibana-kibana-5d996f756d-f9pwp,47079796.5,831641941.3333334
129620,1687921200000000000,kibana-kibana-5d996f756d-f9pwp,51937757.75,829080780.8
130679,1687919400000000000,kibana-kibana-5d996f756d-f9pwp,48414360.916666664,827700360.5333333
131741,1687917600000000000,kibana-kibana-5d996f756d-f9pwp,63045320.4,832791893.3333334
132792,1687915800000000000,kibana-kibana-5d996f756d-f9pwp,43913302.5,831343616.0
133850,1687914000000000000,kibana-kibana-5d996f756d-f9pwp,50751805.733333334,832277777.0666667
134919,1687912200000000000,kibana-kibana-5d996f756d-f9pwp,47639196.016666666,832541422.9333333
135987,1687910400000000000,kibana-kibana-5d996f756d-f9pwp,49919010.75,832523400.5333333
137041,1687908600000000000,kibana-kibana-5d996f756d-f9pwp,52529826.35,830552473.6
138101,1687906800000000000,kibana-kibana-5d996f756d-f9pwp,49640035.95,829530862.9333333
139161,1687905000000000000,kibana-kibana-5d996f756d-f9pwp,52049153.05,824736494.9333333
140214,1687903200000000000,kibana-kibana-5d996f756d-f9pwp,55156464.93333333,831392972.8
141271,1687901400000000000,kibana-kibana-5d996f756d-f9pwp,48312207.63333333,830714197.3333334
142310,1687899600000000000,kibana-kibana-5d996f756d-f9pwp,45186208.983333334,832435200.0
143371,1687897800000000000,kibana-kibana-5d996f756d-f9pwp,45364840.46666667,831039146.6666666
144417,1687896000000000000,kibana-kibana-5d996f756d-f9pwp,43059123.3,831691093.3333334
145476,1687894200000000000,kibana-kibana-5d996f756d-f9pwp,44632972.3,831692936.5333333
146523,1687892400000000000,kibana-kibana-5d996f756d-f9pwp,45636617.25,831750348.8
147580,1687890600000000000,kibana-kibana-5d996f756d-f9pwp,41359493.36666667,830310126.9333333
148616,1687888800000000000,kibana-kibana-5d996f756d-f9pwp,43417383.43333333,826218154.6666666
149670,1687887000000000000,kibana-kibana-5d996f756d-f9pwp,41358313.96666667,833306487.4666667
150704,1687885200000000000,kibana-kibana-5d996f756d-f9pwp,37814200.983333334,833522073.6
151753,1687883400000000000,kibana-kibana-5d996f756d-f9pwp,39055223.75,832953548.8
152780,1687881600000000000,kibana-kibana-5d996f756d-f9pwp,39555320.5,832157218.1333333
153832,1687879800000000000,kibana-kibana-5d996f756d-f9pwp,40534208.93333333,831861282.1333333
154869,1687878000000000000,kibana-kibana-5d996f756d-f9pwp,45843725.96666667,832256068.2666667
155915,1687876200000000000,kibana-kibana-5d996f756d-f9pwp,42781608.583333336,831075328.0
156948,1687874400000000000,kibana-kibana-5d996f756d-f9pwp,47810054.68333333,829398289.0666667
158001,1687872600000000000,kibana-kibana-5d996f756d-f9pwp,47243236.53333333,832658909.8666667
159041,1687870800000000000,kibana-kibana-5d996f756d-f9pwp,52004717.2,832582382.9333333
160094,1687869000000000000,kibana-kibana-5d996f756d-f9pwp,44484078.266666666,831822438.4
161136,1687867200000000000,kibana-kibana-5d996f756d-f9pwp,45648220.93333333,831833634.1333333
162194,1687865400000000000,kibana-kibana-5d996f756d-f9pwp,48295760.05,832146705.0666667
163240,1687863600000000000,kibana-kibana-5d996f756d-f9pwp,48981758.516666666,832508586.6666666
164296,1687861800000000000,kibana-kibana-5d996f756d-f9pwp,45979483.31666667,830112972.8
165339,1687860000000000000,kibana-kibana-5d996f756d-f9pwp,59860848.7,829507857.0666667
166399,1687858200000000000,kibana-kibana-5d996f756d-f9pwp,64316914.833333336,833411345.0666667
167438,1687856400000000000,kibana-kibana-5d996f756d-f9pwp,45508797.25,833558664.5333333
168495,1687854600000000000,kibana-kibana-5d996f756d-f9pwp,59941884.71666667,834122615.4666667
169551,1687852800000000000,kibana-kibana-5d996f756d-f9pwp,70373659.9,834504157.8666667
170475,1687851000000000000,kibana-kibana-5d996f756d-f9pwp,61017184.5,833843063.4666667
171534,1687849200000000000,kibana-kibana-5d996f756d-f9pwp,65801870.21666667,833341371.7333333
172593,1687847400000000000,kibana-kibana-5d996f756d-f9pwp,53619643.93333333,832730248.5333333
173665,1687845600000000000,kibana-kibana-5d996f756d-f9pwp,59890325.03333333,828427946.6666666
174778,1687843800000000000,kibana-kibana-5d996f756d-f9pwp,67330643.13333334,830068667.7333333
175162,1687842000000000000,kibana-kibana-5d996f756d-f9pwp,39420499.61666667,825635293.8666667
176283,1687840200000000000,kibana-kibana-5d996f756d-f9pwp,25785508.066666663,825491319.4666667
177345,1687838400000000000,kibana-kibana-5d996f756d-f9pwp,30186811.616666667,824960682.6666666
178405,1687836600000000000,kibana-kibana-5d996f756d-f9pwp,27023582.7,819716437.3333334
179467,1687834800000000000,kibana-kibana-5d996f756d-f9pwp,26685535.966666665,820731084.8
180503,1687833000000000000,kibana-kibana-5d996f756d-f9pwp,26143137.15,819753779.2
181557,1687831200000000000,kibana-kibana-5d996f756d-f9pwp,36369954.25,815446016.0
182615,1687829400000000000,kibana-kibana-5d996f756d-f9pwp,25883308.533333335,822910429.8666667
183673,1687827600000000000,kibana-kibana-5d996f756d-f9pwp,28096088.383333333,825205077.3333334
184684,1687825800000000000,kibana-kibana-5d996f756d-f9pwp,28875311.183333337,824119296.0
185742,1687824000000000000,kibana-kibana-5d996f756d-f9pwp,27335592.6,824622148.2666667
186796,1687822200000000000,kibana-kibana-5d996f756d-f9pwp,27431648.7,821413956.2666667
