,time,cpu_cores,pod,cpu_unit,memory_bytes,memory_unit,cpu_usage_nanocores,memory_working_set_bytes
42,1683151200000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,9987255.741666667,23285213.866666667
43,1683147600000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,6173197.775,24148821.333333332
44,1683144000000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,4264981.0,25597986.133333333
45,1683140400000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,3440435.066666667,26433774.933333337
46,1683136800000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,3180711.566666667,27683191.466666665
47,1683133200000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,3304996.025,26753058.133333333
48,1683129600000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,3633081.225,25601126.4
49,1683126000000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,4226312.225,24571835.733333334
50,1683122400000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,5018609.6,23903436.8
51,1683118800000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,6467625.508333334,23084270.933333337
52,1683115200000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,7634831.708333333,22915174.4
53,1683111600000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,9261463.958333334,22643336.533333335
54,1683108000000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,12261896.675,22531242.666666668
55,1683104400000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,16130131.033333331,22309102.933333337
56,1683100800000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,14405360.216666669,22301491.2
57,1683097200000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,12535737.225,22458094.933333337
