,time,pod_name,mean_cpu_usage_nanocores,mean_memory_working_set_bytes
71851,1688625000000000000,zipkin-6c4bd7cff8-sjckh,109655598.78333332,4469485431.466666
72956,1688623200000000000,zipkin-6c4bd7cff8-sjckh,101483965.8,4469442696.533334
74046,1688621400000000000,zipkin-6c4bd7cff8-sjckh,97452145.56666666,4469349239.466666
75134,1688619600000000000,zipkin-6c4bd7cff8-sjckh,103859854.88333334,4469321318.4
76333,1688617800000000000,zipkin-6c4bd7cff8-sjckh,117959486.23333332,4469251481.6
77403,1688616000000000000,zipkin-6c4bd7cff8-sjckh,133723122.48333332,4470447377.066667
78458,1688614200000000000,zipkin-6c4bd7cff8-sjckh,117876392.76666668,4469206766.933333
79529,1688612400000000000,zipkin-6c4bd7cff8-sjckh,109941873.98333332,4472857531.733334
80595,1688610600000000000,zipkin-6c4bd7cff8-sjckh,106547799.83333331,4469167786.666667
81660,1688608800000000000,zipkin-6c4bd7cff8-sjckh,99556017.75,4469170244.266666
82722,1688607000000000000,zipkin-6c4bd7cff8-sjckh,96091234.41666669,4469174681.6
83788,1688605200000000000,zipkin-6c4bd7cff8-sjckh,96890108.08333331,4469334766.933333
84863,1688603400000000000,zipkin-6c4bd7cff8-sjckh,108008714.38333334,4469499153.066667
85931,1688601600000000000,zipkin-6c4bd7cff8-sjckh,107842033.71666668,4477796283.733334
87003,1688599800000000000,zipkin-6c4bd7cff8-sjckh,151830159.43333334,4471768268.8
88075,1688598000000000000,zipkin-6c4bd7cff8-sjckh,142835224.13333333,4469555609.6
89152,1688596200000000000,zipkin-6c4bd7cff8-sjckh,125214507.08333331,4473571396.266666
90226,1688594400000000000,zipkin-6c4bd7cff8-sjckh,107783885.6,4472148104.533334
91294,1688592600000000000,zipkin-6c4bd7cff8-sjckh,82008093.9,4473417864.533334
92346,1688590800000000000,zipkin-6c4bd7cff8-sjckh,61152264.38333333,4470227421.866667
93396,1688589000000000000,zipkin-6c4bd7cff8-sjckh,48129498.55,4469411566.933333
94457,1688587200000000000,zipkin-6c4bd7cff8-sjckh,32555949.0,4472534357.333333
95488,1688585400000000000,zipkin-6c4bd7cff8-sjckh,29693090.683333337,4469346304.0
96547,1688583600000000000,zipkin-6c4bd7cff8-sjckh,23369099.133333333,4470347571.2
97606,1688581800000000000,zipkin-6c4bd7cff8-sjckh,16414067.55,4469391360.0
98671,1688580000000000000,zipkin-6c4bd7cff8-sjckh,18142538.016666666,4469391360.0
99742,1688578200000000000,zipkin-6c4bd7cff8-sjckh,17734164.75,4471599923.2
100803,1688576400000000000,zipkin-6c4bd7cff8-sjckh,20980448.6,4469391360.0
101865,1688574600000000000,zipkin-6c4bd7cff8-sjckh,23688058.15,4469342208.0
102911,1688572800000000000,zipkin-6c4bd7cff8-sjckh,24740010.833333332,4469297288.533334
103961,1688571000000000000,zipkin-6c4bd7cff8-sjckh,25326212.283333335,4469268480.0
105021,1688569200000000000,zipkin-6c4bd7cff8-sjckh,33101181.483333334,4469282816.0
106079,1688567400000000000,zipkin-6c4bd7cff8-sjckh,42848407.05,4469299200.0
107140,1688565600000000000,zipkin-6c4bd7cff8-sjckh,40284053.266666666,4469262472.533334
108197,1688563800000000000,zipkin-6c4bd7cff8-sjckh,53350042.56666667,4469252437.333333
109262,1688562000000000000,zipkin-6c4bd7cff8-sjckh,58002487.03333333,4469280768.0
110255,1688560200000000000,zipkin-6c4bd7cff8-sjckh,64461836.3,4469224584.533334
111318,1688558400000000000,zipkin-6c4bd7cff8-sjckh,81233328.0,4469194478.933333
112374,1688556600000000000,zipkin-6c4bd7cff8-sjckh,84805234.25,4474809207.466666
113432,1688554800000000000,zipkin-6c4bd7cff8-sjckh,95216487.93333334,4469182805.333333
114498,1688553000000000000,zipkin-6c4bd7cff8-sjckh,98408585.75,4474705169.066667
115546,1688551200000000000,zipkin-6c4bd7cff8-sjckh,119770048.5,4469138500.266666
116612,1688549400000000000,zipkin-6c4bd7cff8-sjckh,133455848.95,4474368955.733334
117673,1688547600000000000,zipkin-6c4bd7cff8-sjckh,161185199.2,4469023334.4
118724,1688545800000000000,zipkin-6c4bd7cff8-sjckh,156772083.88333333,4473162683.733334
119778,1688544000000000000,zipkin-6c4bd7cff8-sjckh,142806284.93333334,4468795323.733334
120839,1688542200000000000,zipkin-6c4bd7cff8-sjckh,139884817.83333334,4470219161.6
121906,1688540400000000000,zipkin-6c4bd7cff8-sjckh,121947893.23333332,4469838028.8
122971,1688538600000000000,zipkin-6c4bd7cff8-sjckh,115502768.7,4468775526.4
124038,1688536800000000000,zipkin-6c4bd7cff8-sjckh,115580891.36666666,4468759074.133333
125108,1688535000000000000,zipkin-6c4bd7cff8-sjckh,121006317.3,4468718865.066667
126179,1688533200000000000,zipkin-6c4bd7cff8-sjckh,121604395.31666666,4474031923.2
127246,1688531400000000000,zipkin-6c4bd7cff8-sjckh,125606233.93333334,4468576529.066667
128294,1688529600000000000,zipkin-6c4bd7cff8-sjckh,124725039.08333331,4468497339.733334
129357,1688527800000000000,zipkin-6c4bd7cff8-sjckh,118581165.8,4470483968.0
130426,1688526000000000000,zipkin-6c4bd7cff8-sjckh,118071429.26666668,4468354116.266666
131486,1688524200000000000,zipkin-6c4bd7cff8-sjckh,110401457.15,4468353228.8
132546,1688522400000000000,zipkin-6c4bd7cff8-sjckh,109514161.21666668,4474415581.866667
133614,1688520600000000000,zipkin-6c4bd7cff8-sjckh,88121122.95,4468343534.933333
134681,1688518800000000000,zipkin-6c4bd7cff8-sjckh,100531003.5,4471636514.133333
135747,1688517000000000000,zipkin-6c4bd7cff8-sjckh,112075493.56666666,4468401493.333333
136812,1688515200000000000,zipkin-6c4bd7cff8-sjckh,119408834.05,4468633804.8
137881,1688513400000000000,zipkin-6c4bd7cff8-sjckh,144121777.03333333,4477858269.866667
138939,1688511600000000000,zipkin-6c4bd7cff8-sjckh,151241675.76666668,4473527296.0
140010,1688509800000000000,zipkin-6c4bd7cff8-sjckh,137195410.86666667,4469574997.333333
141075,1688508000000000000,zipkin-6c4bd7cff8-sjckh,98117971.71666668,4468697634.133333
142146,1688506200000000000,zipkin-6c4bd7cff8-sjckh,76006861.91666667,4468691763.2
143209,1688504400000000000,zipkin-6c4bd7cff8-sjckh,59876724.7,4468673604.266666
143887,1688502600000000000,zipkin-6c4bd7cff8-sjckh,51888447.416666664,4468671214.933333
144958,1688500800000000000,zipkin-6c4bd7cff8-sjckh,36962688.56666667,4472159778.133333
146028,1688499000000000000,zipkin-6c4bd7cff8-sjckh,26576606.066666663,4468670464.0
147099,1688497200000000000,zipkin-6c4bd7cff8-sjckh,22075700.8,4468670464.0
148166,1688495400000000000,zipkin-6c4bd7cff8-sjckh,20787744.983333334,4468671829.333333
149233,1688493600000000000,zipkin-6c4bd7cff8-sjckh,15735448.05,4468674560.0
150298,1688491800000000000,zipkin-6c4bd7cff8-sjckh,16895174.933333334,4468673809.066667
151359,1688490000000000000,zipkin-6c4bd7cff8-sjckh,21134609.266666666,4468670464.0
152419,1688488200000000000,zipkin-6c4bd7cff8-sjckh,23770859.4,4468666777.6
153477,1688486400000000000,zipkin-6c4bd7cff8-sjckh,23681884.566666663,4468637559.466666
154540,1688484600000000000,zipkin-6c4bd7cff8-sjckh,26677951.55,4468633600.0
155602,1688482800000000000,zipkin-6c4bd7cff8-sjckh,33593308.68333333,4468633600.0
156665,1688481000000000000,zipkin-6c4bd7cff8-sjckh,38250666.7,4468774229.333333
157730,1688479200000000000,zipkin-6c4bd7cff8-sjckh,40461106.61666667,4468635716.266666
158795,1688477400000000000,zipkin-6c4bd7cff8-sjckh,48230412.233333334,4474818491.733334
159866,1688475600000000000,zipkin-6c4bd7cff8-sjckh,56920013.65,4469948074.666667
160901,1688473800000000000,zipkin-6c4bd7cff8-sjckh,67832673.43333334,4468642133.333333
161959,1688472000000000000,zipkin-6c4bd7cff8-sjckh,69180098.31666666,4468678314.666667
163010,1688470200000000000,zipkin-6c4bd7cff8-sjckh,81640760.71666667,4468862498.133333
164069,1688468400000000000,zipkin-6c4bd7cff8-sjckh,85384261.46666667,4468860586.666667
165127,1688466600000000000,zipkin-6c4bd7cff8-sjckh,99397986.86666666,4474066739.2
166182,1688464800000000000,zipkin-6c4bd7cff8-sjckh,108478430.86666666,4473963861.333333
167223,1688463000000000000,zipkin-6c4bd7cff8-sjckh,128589049.26666668,4468781056.0
168269,1688461200000000000,zipkin-6c4bd7cff8-sjckh,162314917.25,4471752977.066667
169325,1688459400000000000,zipkin-6c4bd7cff8-sjckh,151065460.85,4468747264.0
170384,1688457600000000000,zipkin-6c4bd7cff8-sjckh,119704312.33333331,4468733747.2
171362,1688455800000000000,zipkin-6c4bd7cff8-sjckh,126232738.38333334,4468700433.066667
172414,1688454000000000000,zipkin-6c4bd7cff8-sjckh,105045386.81666666,4468692923.733334
173475,1688452200000000000,zipkin-6c4bd7cff8-sjckh,99106141.78333332,4468740915.2
174510,1688450400000000000,zipkin-6c4bd7cff8-sjckh,101594459.36666666,4471636718.933333
175568,1688448600000000000,zipkin-6c4bd7cff8-sjckh,108410588.13333334,4477349751.466666
176625,1688446800000000000,zipkin-6c4bd7cff8-sjckh,105687814.7,4470208785.066667
177694,1688445000000000000,zipkin-6c4bd7cff8-sjckh,124331702.33333331,4468993024.0
178748,1688443200000000000,zipkin-6c4bd7cff8-sjckh,119855623.8,4468971315.2
179804,1688441400000000000,zipkin-6c4bd7cff8-sjckh,124213728.18333334,4468954453.333333
180866,1688439600000000000,zipkin-6c4bd7cff8-sjckh,117431670.3,4468970973.866667
181906,1688437800000000000,zipkin-6c4bd7cff8-sjckh,125361551.8,4468979507.2
182957,1688436000000000000,zipkin-6c4bd7cff8-sjckh,109246496.5,4468959232.0
184012,1688434200000000000,zipkin-6c4bd7cff8-sjckh,106533621.08333331,4468971451.733334
185064,1688432400000000000,zipkin-6c4bd7cff8-sjckh,94633325.63333334,4469098700.8
